"date","Rt_lower","Rt_upper","Rt"
2021-10-10,1.02702702702703,1.27027027027027,1.14645500643501
2021-10-09,1.03557312252964,1.28458498023715,1.15803270092227
2021-10-08,1.01652892561983,1.26859504132231,1.1408349862259
2021-10-07,0.978070175438597,1.23245614035088,1.10474678362573
2021-10-06,0.949275362318841,1.17391304347826,1.06147115942029
2021-10-05,0.921985815602837,1.14184397163121,1.02894853427896
2021-10-04,0.925266903914591,1.14590747330961,1.03298393831554
2021-10-03,0.937777777777778,1.18666666666667,1.06130882962963
2021-10-02,0.954337899543379,1.21004566210046,1.07993111111111
2021-10-01,0.941666666666667,1.18333333333333,1.06087883333333
2021-09-30,0.904564315352697,1.14522821576763,1.02321017980636
2021-09-29,0.880165289256198,1.11570247933884,0.996743884297521
2021-09-28,0.883561643835616,1.09246575342466,0.986713401826484
2021-09-27,0.891696750902527,1.10830324909747,0.999012418772563
2021-09-26,0.91304347826087,1.17391304347826,1.04060637681159
2021-09-25,0.936274509803922,1.20098039215686,1.06802588235294
2021-09-24,0.926229508196721,1.16393442622951,1.04268393442623
2021-09-23,0.872146118721461,1.12328767123288,0.996363348554034
2021-09-22,0.848979591836735,1.07755102040816,0.962660897959184
2021-09-21,0.829457364341085,1.05038759689922,0.93825173126615
2021-09-20,0.836538461538462,1.03205128205128,0.933801132478633
2021-09-19,0.844621513944223,1.07171314741036,0.957825524568393
2021-09-18,0.868020304568528,1.13197969543147,0.999529306260575
2021-09-17,0.886554621848739,1.1218487394958,1.00241028011204
2021-09-16,0.850574712643678,1.0727969348659,0.960241966794381
2021-09-15,0.815789473684211,1.03007518796992,0.922237944862155
2021-09-14,0.803703703703704,1.01481481481481,0.907415407407407
2021-09-13,0.815151515151515,1.00606060606061,0.909007373737374
2021-09-12,0.822641509433962,1.0377358490566,0.928497509433962
2021-09-11,0.862068965517241,1.07241379310345,0.965756252873563
2021-09-10,0.882352941176471,1.09688581314879,0.987725951557093
2021-09-09,0.893939393939394,1.11742424242424,1.00358441919192
2021-09-08,0.912751677852349,1.1241610738255,1.01610053691275
2021-09-07,0.921232876712329,1.13356164383562,1.02679358447489
2021-09-06,0.947019867549669,1.16225165562914,1.05369682119205
2021-09-05,0.970954356846473,1.21576763485477,1.09239388658368
2021-09-04,1,1.25206611570248,1.12506581267218
2021-09-03,1,1.24701195219124,1.12273017264276
2021-09-02,0.98326359832636,1.23012552301255,1.10680167364017
2021-09-01,0.97008547008547,1.22222222222222,1.09525398860399
2021-08-31,0.967611336032389,1.20647773279352,1.0863012145749
2021-08-30,0.968127490039841,1.20318725099602,1.08465256308101
2021-08-29,0.967289719626168,1.23364485981308,1.09841102803738
2021-08-28,0.985915492957746,1.24882629107981,1.11485086071987
2021-08-27,0.975609756097561,1.24390243902439,1.10891918699187
2021-08-26,0.955,1.225,1.08961636666667
2021-08-25,0.95,1.19166666666667,1.0685135
2021-08-24,0.937799043062201,1.19617224880383,1.06467693779904
2021-08-23,0.98,1.22,1.09910269333333
2021-08-22,1.02061855670103,1.29896907216495,1.1565287628866
2021-08-21,1.08379888268156,1.3854748603352,1.23372729981378
2021-08-20,1.11464968152866,1.44585987261146,1.27831422505308
2021-08-19,1.12422360248447,1.4472049689441,1.28214712215321
2021-08-18,1.10429447852761,1.42331288343558,1.26429439672802
2021-08-17,1.08088235294118,1.43382352941176,1.25781495098039
2021-08-16,1.12154696132597,1.41988950276243,1.27084342541436
2021-08-15,1.12396694214876,1.49586776859504,1.30580892561983
2021-08-14,1.17142857142857,1.59047619047619,1.37755993650794
2021-08-13,1.19230769230769,1.61538461538462,1.39764576923077
2021-08-12,1.16822429906542,1.57943925233645,1.36781725856698
2021-08-11,1.13725490196078,1.54901960784314,1.33628405228758
2021-08-10,1.08974358974359,1.57692307692308,1.32869179487179
